variant,class_label,token,feature,weight,rank_abs_weight,leakage_flag
mask_wendys_brand,self-enhancing,wendy,word__verified wendysspicynuggs,0.038862,2,FAIL
mask_wendys_brand,self-enhancing,wendys,word__wendysspicynuggs,0.056281,1,FAIL
mask_wendys_brand,self-enhancing,wendys,word__verified wendysspicynuggs,0.038862,2,FAIL
mask_wendys_brand,self-enhancing,frosty,word__frosty,0.044819,1,FAIL
mask_wendys_brand,self-enhancing,frosty,word__mints frosty,-0.01786,2,FAIL
mask_wendys_brand,self-enhancing,frosty,word__vanilla frosty,0.007906,3,FAIL
mask_wendys_brand,self-enhancing,baconator,word__baconator,-0.023145,1,FAIL
mask_wendys_brand,self-enhancing,baconator,word__baconator with,0.008756,2,FAIL
mask_wendys_brand,self-enhancing,baconator,word__breakfast baconator,-0.006875,3,FAIL
mask_wendys_brand,self-enhancing,nuggs,word__wendysspicynuggs,0.056281,1,FAIL
mask_wendys_brand,self-enhancing,nuggs,word__nuggs,0.043864,2,FAIL
mask_wendys_brand,self-enhancing,nuggs,word__spicy nuggs,0.04279,3,FAIL
mask_wendys_brand,self-enhancing,nuggets,word__nuggets,-0.032092,1,FAIL
mask_wendys_brand,self-enhancing,nuggets,word__4pc nuggets,-0.013972,2,FAIL
mask_wendys_brand,self-enhancing,nuggets,word__spicy nuggets,0.004294,3,FAIL
mask_wendys_brand,self-enhancing,spicy nuggets,word__spicy nuggets,0.004294,1,FAIL
mask_wendys_brand,self-enhancing,dave,word__free dave,-0.028862,1,FAIL
mask_wendys_brand,self-enhancing,dave,word__dave,-0.023043,2,FAIL
mask_wendys_brand,self-enhancing,dave,word__dave single,-0.018466,3,FAIL
mask_wendys_brand,self-enhancing,breakfast baconator,word__breakfast baconator,-0.006875,1,FAIL
mask_wendys_brand,self-enhancing,burger king,word__burger king,-0.030456,1,FAIL
mask_wendys_brand,self-enhancing,mcdonald,word__mcdonald,-0.026513,1,FAIL
